CYB5RL	CYB5RL
MRPL37	MRPL37
SSBP3	SSBP3
ACOT11	ACOT11
TTC4	TTC4
PARS2	PARS2
TTC22	TTC22
C1orf177	C1orf177
DHCR24	DHCR24
USP24	USP24
DAB1	DAB1
OMA1	OMA1
MYSM1	MYSM1
JUN	JUN
LINC01135	LINC01135
RP4-794H19.1	RP4-794H19.1
FGGY	FGGY
HOOK1	HOOK1
CYP2J2	CYP2J2
NFIA	NFIA
TM2D1	TM2D1
INADL	INADL
L1TD1	L1TD1
USP1	USP1
DOCK7	DOCK7
ATG4C	ATG4C
ALG6	ALG6
ITGB3BP	ITGB3BP
EFCAB7	EFCAB7
DLEU2L	DLEU2L
PGM1	PGM1
RAVER2	RAVER2
JAK1	JAK1
AK4	AK4
LEPR	LEPR
LEPROT	LEPROT
PDE4B	PDE4B
MIER1	MIER1
SLC35D1	SLC35D1
IL23R	IL23R
IL12RB2	IL12RB2
SERBP1	SERBP1
GADD45A	GADD45A
WLS	WLS
LRRC7	LRRC7
LRRC40	LRRC40
SRSF11	SRSF11
ANKRD13C	ANKRD13C
HHLA3	HHLA3
CTH	CTH
ZRANB2	ZRANB2
LRRIQ3	LRRIQ3
FPGT	FPGT
CRYZ	CRYZ
TYW3	TYW3
ACADM	ACADM
RABGGTB	RABGGTB
ST6GALNAC3	ST6GALNAC3
PIGK	PIGK
AK5	AK5
ZZZ3	ZZZ3
USP33	USP33
FAM73A	FAM73A
NEXN	NEXN
FUBP1	FUBP1
DNAJB4	DNAJB4
RP11-386I14.4	RP11-386I14.4
IFI44L	IFI44L
IFI44	IFI44
RP5-887A10.1	RP5-887A10.1
RP11-475O6.1	RP11-475O6.1
RP11-486G15.2	RP11-486G15.2
PRKACB	PRKACB
RPF1	RPF1
GNG5	GNG5
CTBS	CTBS
SSX2IP	SSX2IP
MCOLN2	MCOLN2
MCOLN3	MCOLN3
SYDE2	SYDE2
C1orf52	C1orf52
BCL10	BCL10
RP11-131L23.1	RP11-131L23.1
ZNHIT6	ZNHIT6
ODF2L	ODF2L
RP4-612B15.3	RP4-612B15.3
SH3GLB1	SH3GLB1
SEP15	SEP15
HS2ST1	HS2ST1
LMO4	LMO4
PKN2	PKN2
GTF2B	GTF2B
CCBL2	CCBL2
RBMXL1	RBMXL1
GBP3	GBP3
GBP1	GBP1
GBP2	GBP2
GBP4	GBP4
GBP5	GBP5
LRRC8B	LRRC8B
RP5-1007M22.2	RP5-1007M22.2
LRRC8C	LRRC8C
RP5-943J3.2	RP5-943J3.2
LRRC8D	LRRC8D
ZNF326	ZNF326
ZNF644	ZNF644
CDC7	CDC7
TGFBR3	TGFBR3
BTBD8	BTBD8
KIAA1107	KIAA1107
GLMN	GLMN
RPAP2	RPAP2
GFI1	GFI1
EVI5	EVI5
RPL5	RPL5
FAM69A	FAM69A
MTF2	MTF2
TMED5	TMED5
CCDC18	CCDC18
DR1	DR1
FNBP1L	FNBP1L
RP4-561L24.3	RP4-561L24.3
DNTTIP2	DNTTIP2
GCLM	GCLM
ARHGAP29	ARHGAP29
ABCD3	ABCD3
CNN3	CNN3
ALG14	ALG14
RWDD3	RWDD3
PTBP2	PTBP2
DPYD	DPYD
AGL	AGL
RP5-884G6.2	RP5-884G6.2
SLC35A3	SLC35A3
HIAT1	HIAT1
SASS6	SASS6
TRMT13	TRMT13
DBT	DBT
RTCA	RTCA
CDC14A	CDC14A
EXTL2	EXTL2
RP4-549L20.3	RP4-549L20.3
SLC30A7	SLC30A7
DPH5	DPH5
AC093157.1	AC093157.1
RP11-421L21.2	RP11-421L21.2
RP11-421L21.3	RP11-421L21.3
RP4-575N6.4	RP4-575N6.4
S1PR1	S1PR1
RNPC3	RNPC3
AMY2B	AMY2B
PRMT6	PRMT6
VAV3	VAV3
VAV3-AS1	VAV3-AS1
RP11-356N1.2	RP11-356N1.2
SLC25A24	SLC25A24
RP11-483I13.5	RP11-483I13.5
FAM102B	FAM102B
HENMT1	HENMT1
PRPF38B	PRPF38B
STXBP3	STXBP3
GPSM2	GPSM2
CLCC1	CLCC1
WDR47	WDR47
TAF13	TAF13
RP5-1065J22.8	RP5-1065J22.8
TMEM167B	TMEM167B
KIAA1324	KIAA1324
SARS	SARS
CELSR2	CELSR2
PSRC1	PSRC1
SORT1	SORT1
PSMA5	PSMA5
ATXN7L2	ATXN7L2
CYB561D1	CYB561D1
AMIGO1	AMIGO1
GPR61	GPR61
GNAI3	GNAI3
AMPD2	AMPD2
GSTM4	GSTM4
GSTM2	GSTM2
GSTM1	GSTM1
GSTM3	GSTM3
CSF1	CSF1
AHCYL1	AHCYL1
STRIP1	STRIP1
RP4-773N10.4	RP4-773N10.4
KCNC4	KCNC4
RBM15	RBM15
SLC16A4	SLC16A4
RP5-1074L1.4	RP5-1074L1.4
LAMTOR5-AS1	LAMTOR5-AS1
LAMTOR5	LAMTOR5
RP11-284N8.3	RP11-284N8.3
KCNA3	KCNA3
CD53	CD53
RP11-96K19.2	RP11-96K19.2
LRIF1	LRIF1
